priority,domain,proxy_domain,category
760,vanitybag.co.uk,vanitybag.com,beauty-personal-care
761,vanitybags.co.uk,vanitybags.com,beauty-personal-care
762,hatcheries.co.uk,hatcheries.com,agriculture-farming
763,lambing.co.uk,lambing.com,agriculture-farming
764,wyke-farm.co.uk,wyke-farm.com,agriculture-farming
765,wykefarm.co.uk,wykefarm.com,agriculture-farming
766,audiobrochure.co.uk,audiobrochure.com,packaging-print
767,drumliners.co.uk,drumliners.com,packaging-print
768,hospitalityprinting.co.uk,hospitalityprinting.com,packaging-print
769,hotfoilstamping.co.uk,hotfoilstamping.com,packaging-print
770,identicards.co.uk,identicards.com,packaging-print
771,laminationfilm.co.uk,laminationfilm.com,packaging-print
772,paper-cups.co.uk,paper-cups.com,packaging-print
773,printleaflets.co.uk,printleaflets.com,packaging-print
774,southernprints.co.uk,southernprints.com,packaging-print
775,sublimationprinting.co.uk,sublimationprinting.com,packaging-print
776,cheapestparking.co.uk,cheapestparking.com,transport-parking
777,lutonparking.co.uk,lutonparking.com,transport-parking
778,movingstorage.co.uk,movingstorage.com,transport-parking
779,packagedeliveries.co.uk,packagedeliveries.com,transport-parking
780,privatehires.co.uk,privatehires.com,transport-parking
781,vancouriers.co.uk,vancouriers.com,transport-parking
782,banquethall.co.uk,banquethall.com,events-exhibitions
783,bridalplanner.co.uk,bridalplanner.com,events-exhibitions
784,conferences.co.uk,conferences.com,events-exhibitions
785,exhibitionbooths.co.uk,exhibitionbooths.com,events-exhibitions
786,inflatablepubhire.co.uk,inflatablepubhire.com,events-exhibitions
787,jewellerydisplays.co.uk,jewellerydisplays.com,events-exhibitions
788,xmasparty.co.uk,xmasparty.com,events-exhibitions
789,alternativepower.co.uk,alternativepower.com,energy-utilities
790,carbon-dioxide.co.uk,carbon-dioxide.com,energy-utilities
791,gasrefills.co.uk,gasrefills.com,energy-utilities
792,generatorcentre.co.uk,generatorcentre.com,energy-utilities
793,miniwindturbines.co.uk,miniwindturbines.com,energy-utilities
794,oilsuppliers.co.uk,oilsuppliers.com,energy-utilities
795,welltesting.co.uk,welltesting.com,energy-utilities
796,outboardengines.co.uk,outboardengines.com,marine
797,sailmaking.co.uk,sailmaking.com,marine
798,syntheticteakdecking.co.uk,syntheticteakdecking.com,marine
799,yachtcentre.co.uk,yachtcentre.com,marine
800,jethire.co.uk,jethire.com,aviation
801,acoustic-guitar.co.uk,acoustic-guitar.com,music
802,appmusic.co.uk,appmusic.com,music
803,guitalele.co.uk,guitalele.com,music
804,internetmusicshop.co.uk,internetmusicshop.com,music
805,intelligencetest.co.uk,intelligencetest.com,education
806,lifelearning.co.uk,lifelearning.com,education
807,rainforests.co.uk,rainforests.com,education
808,legaldomain.co.uk,legaldomain.com,legal
809,datingevenings.co.uk,datingevenings.com,dating
810,meetfemales.co.uk,meetfemales.com,dating
811,seduce.co.uk,seduce.com,dating
812,00.org.uk,00.com,brandable-short
813,5un.co.uk,5un.com,brandable-short
814,ant.co.uk,ant.com,brandable-short
815,chicklet.co.uk,chicklet.com,brandable-short
816,crms.co.uk,crms.com,brandable-short
817,ct4m.co.uk,ct4m.com,brandable-short
818,cv1.co.uk,cv1.com,brandable-short
819,dmns.co.uk,dmns.com,brandable-short
820,dsgn.co.uk,dsgn.com,brandable-short
821,eqpt.co.uk,eqpt.com,brandable-short
822,fees.co.uk,fees.com,brandable-short
823,flubbert.co.uk,flubbert.com,brandable-short
824,free.me.uk,free.com,brandable-short
825,glop.co.uk,glop.com,brandable-short
826,hell.co.uk,hell.com,brandable-short
827,ibio.co.uk,ibio.com,brandable-short
828,istep.co.uk,istep.com,brandable-short
829,ki2.co.uk,ki2.com,brandable-short
830,oxenunity.co.uk,oxenunity.com,brandable-short
831,oxes.co.uk,oxes.com,brandable-short
832,qpus.co.uk,qpus.com,brandable-short
833,quido.co.uk,quido.com,brandable-short
834,rein.co.uk,rein.com,brandable-short
835,slim.org.uk,slim.com,brandable-short
836,slym.co.uk,slym.com,brandable-short
837,srcs.co.uk,srcs.com,brandable-short
838,inshalla.co.uk,inshalla.com,foreign-language
839,konichiwa.co.uk,konichiwa.com,foreign-language
840,anne-marie.co.uk,anne-marie.com,names-places
841,ileeds.co.uk,ileeds.com,names-places
842,katherineappleby.co.uk,katherineappleby.com,names-places
843,kathyappleby.co.uk,kathyappleby.com,names-places
844,londonlocal.co.uk,londonlocal.com,names-places
845,madonnas.co.uk,madonnas.com,names-places
846,oliverappleby.co.uk,oliverappleby.com,names-places
847,williama.co.uk,williama.com,names-places
848,williamappleby.co.uk,williamappleby.com,names-places
849,bulbous.co.uk,bulbous.com,generic-word
850,cartoon.co.uk,cartoon.com,generic-word
851,dingos.co.uk,dingos.com,generic-word
852,duplicates.co.uk,duplicates.com,generic-word
853,egret.co.uk,egret.com,generic-word
854,enablers.co.uk,enablers.com,generic-word
855,girly.co.uk,girly.com,generic-word
856,guaranteed.co.uk,guaranteed.com,generic-word
857,hacks.co.uk,hacks.com,generic-word
858,implications.co.uk,implications.com,generic-word
859,leopardess.co.uk,leopardess.com,generic-word
860,moderated.co.uk,moderated.com,generic-word
861,noted.co.uk,noted.com,generic-word
862,one-to-one.co.uk,one-to-one.com,generic-word
863,predate.co.uk,predate.com,generic-word
864,proverb.co.uk,proverb.com,generic-word
865,rants.co.uk,rants.com,generic-word
866,repurpose.co.uk,repurpose.com,generic-word
867,reread.co.uk,reread.com,generic-word
868,splendent.co.uk,splendent.com,generic-word
869,sunshine.org.uk,sunshine.com,generic-word
870,thankless.co.uk,thankless.com,generic-word
871,uprights.co.uk,uprights.com,generic-word
872,visitors.co.uk,visitors.com,generic-word
873,voters.co.uk,voters.com,generic-word
874,ancestryonline.co.uk,ancestryonline.com,misc
875,metallichydrogen.co.uk,metallichydrogen.com,misc
