priority,domain,category,subcategory,reason
117,jobinfinance.co.uk,financial,general,KEEP:network-financial
118,journalistinsurance.co.uk,financial,insurance,KEEP:network-financial
119,journalistinsurance.uk,financial,insurance,KEEP:network-financial
120,keypersoncover.co.uk,financial,insurance,KEEP:network-financial
121,keypersoncover.uk,financial,insurance,KEEP:network-financial
122,keyworkerinsurance.co.uk,financial,insurance,KEEP:network-financial
123,keyworkerinsurance.uk,financial,insurance,KEEP:network-financial
124,lampenkap.com,home-garden,furnishings,KEEP:live-site
125,landlordinsurancedeal.co.uk,financial,insurance,KEEP:network-financial
126,landlordinsurancedeal.uk,financial,insurance,KEEP:network-financial
127,landlordinsurancedeals.co.uk,financial,insurance,KEEP:network-financial
128,landlordinsurancedeals.uk,financial,insurance,KEEP:network-financial
129,landlordinsurancequotes.uk,financial,insurance,KEEP:network-financial
130,landlordinsurancerate.co.uk,financial,insurance,KEEP:network-financial
131,landlordinsurancerate.uk,financial,insurance,KEEP:network-financial
132,landlordinsurancerates.co.uk,financial,insurance,KEEP:network-financial
133,landlordinsurancerates.uk,financial,insurance,KEEP:network-financial
134,lendsy.co.uk,financial,loans,KEEP:network-financial
135,lendzy.co.uk,financial,loans,KEEP:network-financial
136,leopardess.co.uk,generic-word,general,KEEP:live-site
137,leopardess.uk,generic-word,general,KEEP:live-site
138,lifeinsurancedeal.uk,financial,insurance,KEEP:network-financial
139,lifeinsurancequotation.co.uk,financial,insurance,KEEP:network-financial
140,lifeinsurancequotation.uk,financial,insurance,KEEP:network-financial
141,lifeinsurancerate.co.uk,financial,insurance,KEEP:network-financial
142,lifeinsurancerate.uk,financial,insurance,KEEP:network-financial
143,loanandmortgagecalculator.co.uk,tools-comparison,general,KEEP:live-site
144,loancalculator.co.uk,tools-comparison,general,KEEP:live-site
145,loancash.co.uk,financial,loans,KEEP:network-financial
146,loanmanagement.co.uk,financial,loans,KEEP:network-financial
147,loanrepayment.uk,financial,loans,KEEP:network-financial
148,loanscentre.co.uk,financial,loans,KEEP:network-financial
149,loansy.uk,financial,loans,KEEP:network-financial
150,loanzy.co.uk,financial,loans,KEEP:network-financial
151,loanzy.uk,financial,loans,KEEP:network-financial
