priority,domain,category
1,adversecreditmortgage.co.uk,financial
2,adversecreditmortgage.uk,financial
3,automaticcarinsurance.co.uk,financial
4,automaticcarinsurance.uk,financial
5,banker.co.uk,financial
6,banker.uk,financial
7,bankmortgagerates.co.uk,financial
8,bespokemortgages.uk,financial
9,besthealthinsurancerates.uk,financial
10,bestinsurancedeal.co.uk,financial
11,bestinsurancedeal.uk,financial
12,bestinsurancedeals.co.uk,financial
13,bestinsurancedeals.uk,financial
14,bestinsurancequote.uk,financial
15,bestinsurancequotes.uk,financial
16,bestinsurancerate.co.uk,financial
17,bestinsurancerate.uk,financial
18,bestinsurancerates.co.uk,financial
19,bestinsurancerates.uk,financial
20,bestlandlordinsurancerate.co.uk,financial
21,business-lenders.co.uk,financial
22,businessfinances.uk,financial
23,businessinsurancequotation.co.uk,financial
24,carinsured.co.uk,financial
25,cheapinsurancequote.uk,financial
26,companypensions.uk,financial
27,comparefamilyhealthinsurance.co.uk,financial
28,comparefamilyhealthinsurance.uk,financial
29,competitiverates.co.uk,financial
30,consolidatemortgage.co.uk,financial
31,creditscoring.uk,financial
32,dividends.co.uk,financial
33,familyhealthinsurancequote.co.uk,financial
34,familyhealthinsurancequote.uk,financial
35,finance.org.uk,financial
36,fixedinterestmortgagerates.co.uk,financial
37,fixedmortgagerates.co.uk,financial
38,fleetfinancing.co.uk,financial
39,goldmines.co.uk,financial
40,healthinsurancedeal.co.uk,financial
41,healthinsurancedeal.uk,financial
42,healthinsurancedeals.uk,financial
43,healthinsurancequote.uk,financial
44,healthinsurancerate.co.uk,financial
45,healthinsurancerate.uk,financial
46,healthinsurancerates.co.uk,financial
47,healthinsurancerates.uk,financial
48,highestinterest.co.uk,financial
49,highestrate.co.uk,financial
50,highestsavingsrate.co.uk,financial
51,incapacitation.co.uk,financial
52,indemnitycover.co.uk,financial
53,insuranceapp.uk,financial
54,insurancedomain.co.uk,financial
55,interestrates.co.uk,financial
56,investmentloan.uk,financial
57,investmentloans.uk,financial
58,investmentsapp.co.uk,financial
59,investmentsapp.uk,financial
60,jobinfinance.co.uk,financial
61,keyworkerinsurance.uk,financial
62,landlordinsurancedeal.co.uk,financial
63,landlordinsurancedeal.uk,financial
64,landlordinsurancedeals.co.uk,financial
65,landlordinsurancedeals.uk,financial
66,landlordinsurancequotes.uk,financial
67,landlordinsurancerate.co.uk,financial
68,landlordinsurancerate.uk,financial
69,landlordinsurancerates.co.uk,financial
70,landlordinsurancerates.uk,financial
71,lifeinsurancedeal.uk,financial
72,lifeinsurancerate.co.uk,financial
73,lifeinsurancerate.uk,financial
74,loanmanagement.co.uk,financial
75,loanrepayment.uk,financial
76,longtermloan.co.uk,financial
77,longtermloan.uk,financial
