domain,source_file,ns_class
aitwin.co.uk,nominet_domains_2026-09-03.csv,none
aiwebmaintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aiwebsitemaintenance.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aiworkmate.co.uk,nominet_domains_2026-09-03.csv,none
aiworkmate.uk,nominet_domains_2026-09-03.csv,none
akim.uk,nominet_domains_2026-09-03.csv,none
aktiivinen.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
al-jebr.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
all-in-ones.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
allesreiniger.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
alquilados.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
alquilermarbella.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
altergasthof.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
alternativeenergy.co.uk,nominet_domains_2026-09-03.csv,none
alternativepower.co.uk,nominet_domains_2026-09-03.csv,none
alternativepresents.co.uk,nominet_domains_2026-09-03.csv,none
alternativetravel.co.uk,nominet_domains_2026-09-03.csv,none
aluminium-door.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aluminium-gates.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aluminium-window.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
aluminiumcanes.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aluminiumdeuren.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aluminiumpergolas.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
aluminiumwalkingsticks.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
aluminum-boats.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
aluminum-extrusion.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
aluminum-windows.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
aluminumcanes.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
amantini.com,porkbun_domains_2026-09-02.csv,other
analyticscentral.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
anatinae.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
ancestryonline.co.uk,nominet_domains_2026-09-03.csv,none
anglingsupplies.uk,nominet_domains_2026-09-03.csv,none
animalcare.uk,nominet_domains_2026-09-03.csv,none
animalcleaner.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
ankeren.com,porkbun_domains_2026-09-02.csv,other
anne-marie.co.uk,nominet_domains_2026-09-03.csv,none
annualreports.uk,nominet_domains_2026-09-03.csv,none
ant.co.uk,nominet_domains_2026-09-03.csv,none
ant.uk,nominet_domains_2026-09-03.csv,none
antiquesdealers.co.uk,nominet_domains_2026-09-03.csv,none
antiquestorage.co.uk,nominet_domains_2026-09-03.csv,none
antislipdecking.co.uk,nominet_domains_2026-09-03.csv,none
anttrack.co.uk,nominet_domains_2026-09-03.csv,none
anttrack.uk,nominet_domains_2026-09-03.csv,none
antywir.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
apartmentsloans.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
apetlon.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
appareilsmenagers.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
applejuicers.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
applesorter.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
appmusic.co.uk,nominet_domains_2026-09-03.csv,none
appmusic.uk,nominet_domains_2026-09-03.csv,none
aprj.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
aproximar.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
arabianperfumes.co.uk,nominet_domains_2026-09-03.csv,none
araignees.com,porkbun_domains_2026-09-02.csv,other
architectural-glass.co.uk,nominet_domains_2026-09-03.csv,none
argumentmap.co.uk,nominet_domains_2026-09-03.csv,none
argumentmap.uk,nominet_domains_2026-09-03.csv,none
arroseur.com,porkbun_domains_2026-09-02.csv,other
articlesubmission.co.uk,nominet_domains_2026-09-03.csv,none
articulas.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
artisan-cheese.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
artisan-cheeses.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
artworker.uk,nominet_domains_2026-09-03.csv,none
artworkers.co.uk,nominet_domains_2026-09-03.csv,none
artworkers.uk,nominet_domains_2026-09-03.csv,none
asegurandovida.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
athomeworkout.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
atmosphericmodels.com,porkbun_domains_2026-09-02.csv,other
attictruss.co.uk,nominet_domains_2026-09-03.csv,none
auberginen.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
audiobrochure.co.uk,nominet_domains_2026-09-03.csv,none
audiocamera.co.uk,nominet_domains_2026-09-03.csv,none
audiocamera.uk,nominet_domains_2026-09-03.csv,none
audiocameras.co.uk,nominet_domains_2026-09-03.csv,none
audiocameras.uk,nominet_domains_2026-09-03.csv,none
auditai.uk,nominet_domains_2026-09-03.csv,none
auditingbusinesses.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
australian-wine.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
australiavilla.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
auto-concierge.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
auto-feeder.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
auto-feeders.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
autoai.uk,nominet_domains_2026-09-03.csv,none
autoinsurancechoices.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
autoinsurancelead.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
automate-website.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
automatedcleaning.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
automatedtrading.uk,nominet_domains_2026-09-03.csv,none
automatic-doors.co.uk,nominet_domains_2026-09-03.csv,none
automatic-website.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
automaticcarinsurance.co.uk,nominet_domains_2026-09-03.csv,none
automaticcarinsurance.uk,nominet_domains_2026-09-03.csv,none
automaticvanhire.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
automaticvans.co.uk,nominet_domains_2026-09-03.csv,none
automotive-lighting.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
autopilotas.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
autoverkehr.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
autumnfashions.co.uk,nominet_domains_2026-09-03.csv,none
avenueprivee.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
averyvet.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
aviatorjacket.co.uk,nominet_domains_2026-09-03.csv,none
aviatorjacket.uk,nominet_domains_2026-09-03.csv,none
aviatorjackets.uk,nominet_domains_2026-09-03.csv,none
axles.uk,nominet_domains_2026-09-03.csv,none
babyplaymat.uk,nominet_domains_2026-09-03.csv,none
babyplaymats.co.uk,nominet_domains_2026-09-03.csv,none
babyplaymats.uk,nominet_domains_2026-09-03.csv,none
backgarden.uk,nominet_domains_2026-09-03.csv,none
backingtracks.uk,nominet_domains_2026-09-03.csv,none
bacteriology.co.uk,nominet_domains_2026-09-03.csv,none
bacteriology.uk,nominet_domains_2026-09-03.csv,none
badminton-racket.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
badrumsmatta.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
badskor.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
bagdesign.uk,nominet_domains_2026-09-03.csv,none
bagdesigners.uk,nominet_domains_2026-09-03.csv,none
bagdesigns.uk,nominet_domains_2026-09-03.csv,none
