# traffic_probe_domains.tsv
# Domain list for the traffic-probe task. Source: parked/aftermarket marketplace export.
# The LAST column is the marketplace own ESTIMATED recent visits (relative ranking, not audited).
# Columns (tab-separated): domain  priceA  priceB  floor_min  flag  -  lander_type  Y  Y  N  N  tld  date_listed  listing_state  eligibility_status  est_visits
# Eligibility statuses (Pending Review / Opt-in Required / TLD Not Eligible / Registrar Not Eligible / Active / Buy Now Price Too High)
# refer to the PARKING program monetisation, NOT to whether you can repoint DNS.

## RANKED BY ESTIMATED VISITS (desc):  est_visits  domain  tld  eligibility_status
5	le-site.com	com	Pending Review
5	healthscare.uk	uk	TLD Not Eligible
5	ekcema.com	com	Pending Review
5	clips.uk	uk	TLD Not Eligible
5	boatrepairs.co.uk	co.uk	TLD Not Eligible
5	bleusaphir.com	com	Pending Review
4	viuty.shop	shop	TLD Not Eligible
4	vidaartificial.com	com	Pending Review
4	vacanzaperfetta.com	com	Opt-in Required
4	speelhuisjes.com	com	Pending Review
4	slevio.com	com	Pending Review
4	seqd.com	com	Pending Review
4	ricemills.com	com	Pending Review
4	pitforex.com	com	Pending Review
4	metalprimer.com	com	Pending Review
4	ledernes.com	com	Pending Review
4	laserbatteries.com	com	Registrar Not Eligible
4	kogj.com	com	Pending Review
4	jethire.co.uk	co.uk	TLD Not Eligible
4	hingedkneebraces.com	com	Pending Review
4	guaranteed.co.uk	co.uk	TLD Not Eligible
4	fixedtermloans.com	com	Pending Review
4	finance-analyst.com	com	Opt-in Required
4	dreiraeder.com	com	Pending Review
4	beekar.com	com	Opt-in Required
4	aprj.com	com	Opt-in Required
4	applesorter.com	com	Opt-in Required
4	anatinae.com	com	Pending Review
4	aggeggi.com	com	Pending Review
4	adversecreditmortgage.co.uk	co.uk	TLD Not Eligible
3	yachtingropes.com	com	Pending Review
3	websydesigns.com	com	Pending Review
3	tradenonline.com	com	Pending Review
3	splendent.co.uk	co.uk	TLD Not Eligible
3	sabinanigo.com	com	Pending Review
3	rampljus.com	com	Pending Review
3	privatemedicatlinsurancequotation.co.uk	co.uk	TLD Not Eligible
3	overpronation.com	com	Opt-in Required
3	overclad.com	com	Pending Review
3	onlinepuzzle.co.uk	co.uk	TLD Not Eligible
3	oilexplorer.com	com	Opt-in Required
3	negociado.com	com	Pending Review
3	monologuer.com	com	Pending Review
3	lampusolar.com	com	Pending Review
3	kopz.com	com	Pending Review
3	ipry.com	com	Pending Review
3	interestonlytermmortgage.com	com	Pending Review
3	healthscare.co.uk	co.uk	TLD Not Eligible
3	gynasyke.com	com	Pending Review
3	greenpowerjuicers.com	com	Pending Review
3	ga85.com	com	Pending Review
3	evaporative-cooling.com	com	Pending Review
3	dividends.co.uk	co.uk	TLD Not Eligible
3	developmentarea.com	com	Pending Review
3	delivery-driver-job.co.uk	co.uk	TLD Not Eligible
3	deep-dive.uk	uk	TLD Not Eligible
3	cuddle.uk	uk	TLD Not Eligible
3	cranehireuk.com	com	Pending Review
3	concrete-homes.com	com	Pending Review
3	comprarticket.com	com	Opt-in Required
3	compareenergyprices.co.uk	co.uk	TLD Not Eligible
3	companyjingles.com	com	Registrar Not Eligible
3	chocolatefountainhire.com	com	Pending Review
3	carbootfair.com	com	Pending Review
3	auberginen.com	com	Pending Review
3	articlesubmission.co.uk	co.uk	TLD Not Eligible
3	aircraft-docking.com	com	Pending Review
3	actuariel.com	com	Pending Review

## RAW EXPORT (verbatim, as supplied)
actuariel.com	0	0	12000	N	-	Request Price	Y	Y	N	N	com	Tue Dec 09 2025	Listed	Pending Review	3
aircraft-docking.com	0	0	10000	N	-	Request Price	Y	Y	N	N	com	Tue Dec 09 2025	Listed	Pending Review	3
articlesubmission.co.uk	0	0	10000	N	-	Custom Lander	N	N	Y	N	co.uk	Sat Oct 26 2024	Listed	TLD Not Eligible	3
auberginen.com	0	0	10000	N	-	Request Price	Y	Y	N	N	com	Tue Dec 09 2025	Listed	Pending Review	3
carbootfair.com	0	0	10000	N	-	Request Price	Y	Y	N	N	com	Mon May 04 2026	Listed	Pending Review	3
chocolatefountainhire.com	0	0	12000	N	-	Request Price	Y	Y	N	N	com	Tue Dec 09 2025	Listed	Pending Review	3
companyjingles.com	0	0	10000	N	-	Request Price	Y	Y	N	N	com	Mon May 04 2026	Listed	Registrar Not Eligible	3
compareenergyprices.co.uk	0	0	10000	N	-	Custom Lander	N	N	Y	N	co.uk	Sat Oct 26 2024	Listed	TLD Not Eligible	3
comprarticket.com	24000	15000	10000	N	-	Request Price	Y	Y	N	N	com	Wed Dec 10 2025	Listed	Opt-in Required	3
concrete-homes.com	0	0	12000	N	-	Request Price	Y	Y	N	N	com	Tue Dec 09 2025	Listed	Pending Review	3
cranehireuk.com	0	0	10000	N	-	Request Price	Y	Y	N	N	com	Mon May 04 2026	Listed	Pending Review	3
cuddle.uk	0	0	50000	N	-	Custom Lander	N	N	Y	N	uk	Sat Oct 26 2024	Listed	TLD Not Eligible	3
deep-dive.uk	0	0	10000	N	-	Request Price	Y	Y	N	N	uk	Tue Dec 09 2025	Listed	TLD Not Eligible	3
delivery-driver-job.co.uk	0	0	10000	N	-	Custom Lander	N	N	Y	N	co.uk	Sat Oct 26 2024	Listed	TLD Not Eligible	3
developmentarea.com	0	0	30000	N	-	Custom Lander	N	N	Y	N	com	Sat Oct 26 2024	Listed	Pending Review	3
dividends.co.uk	0	0	50000	N	-	Custom Lander	N	N	Y	N	co.uk	Sat Oct 26 2024	Listed	TLD Not Eligible	3
evaporative-cooling.com	0	0	12000	N	-	Request Price	Y	Y	N	N	com	Tue Dec 09 2025	Listed	Pending Review	3
ga85.com	0	0	30000	N	-	Custom Lander	N	N	Y	N	com	Sat Oct 26 2024	Listed	Pending Review	3
