current	proposed_dest	reason	ACTION(edit:keep|move|archive|skip)
API_DOCUMENTATION.md	(decide)	unclassified	
main_docs_directory_tree.txt	(decide)	unclassified	
summary.txt	(decide)	unclassified	
thin-manifest.tsv	(decide)	unclassified	
